fips,rural_urban,no_diploma
15005,3,0.097
15007,5,0.075
15009,3,0.08
16000,,0.092
16001,2,0.048
16003,9,0.098
16005,3,0.075
16007,9,0.065
16009,6,0.124
16011,4,0.108
16013,7,0.113
16015,2,0.057
16017,6,0.092
16019,3,0.08
16021,7,0.082
16023,3,0.072
16025,9,0.067
16027,2,0.149
16029,6,0.088
16031,7,0.164
16033,9,0.402
16035,6,0.096
16037,8,0.106
16039,6,0.101
16041,3,0.097
16043,6,0.134
16045,2,0.122
16047,7,0.209
16049,6,0.095
16051,3,0.098
16053,7,0.228
16055,3,0.068
16057,4,0.042
16059,7,0.079
16061,8,0.115
16063,9,0.234
16065,4,0.041
16067,7,0.208
16069,3,0.08
16071,8,0.098
16073,2,0.239
16075,6,0.143
16077,6,0.208
16079,6,0.138
16081,9,0.062
16083,5,0.129
16085,8,0.054
16087,6,0.15
17000,,0.108
17001,5,0.075
17003,3,0.135
17005,1,0.108
17007,2,0.138
17009,7,0.17
17011,7,0.092
17013,1,0.084
17015,7,0.088
17017,6,0.16
17019,3,0.05
17021,6,0.103
17023,6,0.072
17025,7,0.12
17027,1,0.099
17029,5,0.086
17031,1,0.129
17033,7,0.15
17035,9,0.094
17037,1,0.077
17039,3,0.085
17041,6,0.168
17043,1,0.07
17045,6,0.099
17047,9,0.08
17049,7,0.069
17051,6,0.162
17053,3,0.096
17055,4,0.111
17057,6,0.114
17059,8,0.131
17061,6,0.094
17063,1,0.068
17065,7,0.129
17067,7,0.066
17069,9,0.204
17071,9,0.088
17073,2,0.088
17075,6,0.105
17077,3,0.081
17079,7,0.102
17081,7,0.126
17083,1,0.077
17085,6,0.077
17087,8,0.178
17089,1,0.154
17091,3,0.118
17093,1,0.076
17095,4,0.109
17097,1,0.094
17099,4,0.114
17101,7,0.151
17103,6,0.112
17105,4,0.101
17107,6,0.113
17109,5,0.064
17111,1,0.069
17113,3,0.041
17115,3,0.096
17117,1,0.087
17119,1,0.075
17121,4,0.11
17123,2,0.071
17125,6,0.108
17127,7,0.132
17129,3,0.059
17131,2,0.081
17133,1,0.04
17135,6,0.123
17137,4,0.091
17139,6,0.153
17141,4,0.098
17143,2,0.091
17145,6,0.167
17147,3,0.061
17149,7,0.113
17151,8,0.14
17153,8,0.112
17155,8,0.073
17157,6,0.157
17159,7,0.109
17161,2,0.114
17163,1,0.089
17165,6,0.133
17167,3,0.075
17169,7,0.106
17171,9,0.065
17173,6,0.077
17175,2,0.087
17177,4,0.075
17179,2,0.073
17181,6,0.116
17183,3,0.115
17185,7,0.094
17187,6,0.133
17189,6,0.078
17191,7,0.121
17193,6,0.101
17195,4,0.094
17197,1,0.09
17199,3,0.077
17201,2,0.123
17203,2,0.052
18000,,0.112
18001,6,0.153
18003,2,0.106
18005,3,0.094
18007,3,0.101
18009,6,0.106
18011,1,0.063
18013,1,0.079
18015,3,0.116
18017,4,0.146
18019,1,0.106
18021,3,0.086
18023,6,0.143
18025,8,0.196
18027,7,0.262
18029,1,0.104
18031,6,0.091
18033,4,0.098
18035,3,0.103
18037,5,0.107
18039,3,0.192
18041,6,0.179
18043,1,0.092
18045,6,0.11
18047,6,0.127
18049,7,0.122
18051,6,0.081
18053,4,0.128
18055,6,0.121
18057,1,0.032
18059,1,0.071
18061,1,0.116
18063,1,0.06
18065,4,0.107
18067,3,0.105
18069,6,0.082
18071,4,0.127
18073,1,0.118
18075,6,0.12
18077,6,0.103
18079,6,0.122
18081,1,0.079
18083,5,0.113
18085,4,0.143
18087,6,0.382
18089,1,0.113
18091,3,0.115
18093,6,0.117
18095,1,0.116
18097,1,0.139
18099,6,0.151
18101,7,0.119
18103,6,0.139
18105,3,0.073
18107,6,0.102
18109,1,0.119
18111,1,0.143
18113,6,0.164
18115,1,0.124
18117,6,0.168
18119,3,0.146
18121,6,0.138
18123,6,0.097
18125,8,0.132
18127,1,0.064
18129,2,0.066
18131,6,0.115
18133,1,0.111
18135,6,0.125
18137,6,0.107
18139,6,0.126
18141,2,0.115
18143,1,0.168
18145,1,0.127
18147,8,0.095
18149,6,0.151
18151,7,0.089
18153,3,0.113
18155,8,0.161
18157,3,0.084
18159,6,0.107
18161,1,0.126
18163,2,0.099
18165,3,0.09
18167,3,0.116
18169,6,0.112
18171,8,0.08
18173,2,0.068
18175,1,0.15
18177,5,0.135
18179,2,0.078
18181,6,0.112
18183,2,0.082
19000,,0.079
19001,8,0.058
19003,9,0.062
19005,6,0.117
19007,7,0.098
19009,8,0.105
19011,2,0.059
19013,3,0.086
19015,6,0.061
19017,3,0.036
19019,6,0.059
19021,7,0.216
19023,8,0.075
19025,9,0.062
19027,7,0.065
19029,6,0.12
19031,6,0.044
19033,5,0.073
19035,6,0.069
19037,6,0.072
19039,6,0.122
19041,7,0.064
19043,8,0.101
19045,4,0.091
19047,7,0.198
19049,2,0.044
19051,9,0.169
19053,9,0.109
19055,6,0.083
19057,5,0.08
19059,7,0.04
19061,3,0.073
19063,7,0.093
19065,6,0.083
19067,7,0.099
19069,7,0.089
19071,8,0.079
19073,6,0.066
19075,3,0.054
19077,2,0.069
19079,6,0.067
19081,7,0.067
19083,6,0.076
19085,2,0.085
19087,6,0.074
19089,6,0.091
19091,7,0.072
19093,8,0.068
19095,6,0.062
19097,6,0.074
19099,6,0.061
19101,7,0.068
19103,3,0.051
19105,2,0.077
19107,8,0.071
19109,7,0.061
19111,5,0.07
19113,2,0.055
19115,8,0.159
19117,6,0.079
19119,8,0.094
19121,2,0.058
19123,7,0.078
19125,6,0.067
19127,4,0.162
19129,2,0.072
19131,7,0.082
19133,6,0.077
19135,7,0.123
19137,6,0.096
19139,4,0.11
19141,7,0.079
19143,7,0.116
19145,6,0.085
19147,7,0.073
19149,3,0.069
19151,9,0.078
19153,2,0.085
19155,2,0.105
19157,7,0.061
19159,9,0.073
19161,9,0.072
19163,2,0.072
19165,6,0.076
19167,7,0.098
19169,3,0.028
19171,6,0.087
19173,9,0.098
19175,6,0.097
19177,9,0.108
19179,5,0.119
19181,2,0.046
19183,3,0.086
19185,9,0.121
19187,5,0.095
19189,7,0.076
19191,7,0.048
19193,3,0.129
19195,9,0.067
19197,7,0.076
20000,,0.09
20001,7,0.081
20003,6,0.09
20005,6,0.073
20007,9,0.089
20009,7,0.105
20011,6,0.087
20013,6,0.068
20015,2,0.075
20017,9,0.082
20019,8,0.134
20021,6,0.101
20023,9,0.064
20025,9,0.052
20027,6,0.071
20029,7,0.07
20031,6,0.073
20033,9,0.061
20035,4,0.093
20037,4,0.079
20039,9,0.06
20041,7,0.085
20043,3,0.097
20045,3,0.046
20047,9,0.146
20049,8,0.115
20051,5,0.067
20053,7,0.084
20055,5,0.29
20057,5,0.264
20059,6,0.078
20061,4,0.062
20063,9,0.079
20065,9,0.074
20067,7,0.23
20069,9,0.226
20071,9,0.13
20073,6,0.076
20075,9,0.192
20077,8,0.104
20079,2,0.095
20081,9,0.276
20083,9,0.089
20085,3,0.054
20087,3,0.065
20089,9,0.069
20091,1,0.04
20093,9,0.241
20095,2,0.064
20097,9,0.118
20099,7,0.102
20101,9,0.057
20103,1,0.078
20105,9,0.067
20107,1,0.103
20109,9,0.09
20111,4,0.117
20113,7,0.087
20115,6,0.084
20117,6,0.078
20119,9,0.193
20121,1,0.04
20123,7,0.052
20125,5,0.112
20127,8,0.088
20129,9,0.16
20131,6,0.058
20133,7,0.092
20135,9,0.091
20137,7,0.109
20139,3,0.092
20141,9,0.061
20143,9,0.051
20145,7,0.094
20147,7,0.076
20149,3,0.058
20151,7,0.079
20153,9,0.042
20155,4,0.115
20157,9,0.041
20159,7,0.084
20161,3,0.042
20163,9,0.113
20165,9,0.079
20167,7,0.119
20169,5,0.085
20171,7,0.156
20173,2,0.104
20175,5,0.337
20177,3,0.078
20179,9,0.039
20181,7,0.077
20183,9,0.07
20185,9,0.093
20187,9,0.215
20189,7,0.218
20191,2,0.077
20193,7,0.067
20195,9,0.068
20197,3,0.046
20199,9,0.053
20201,9,0.084
20203,9,0.134
20205,7,0.115
20207,9,0.093
20209,1,0.211
21000,,0.137
21001,7,0.204
21003,3,0.179
21005,6,0.101
21007,9,0.128
21009,6,0.17
21011,8,0.231
21013,7,0.304
21015,1,0.069
21017,2,0.16
21019,2,0.118
21021,7,0.129
21023,1,0.143
21025,7,0.244
21027,8,0.159
21029,1,0.115
21031,3,0.204
21033,7,0.13
21035,7,0.105
21037,1,0.092
21039,9,0.167
21041,6,0.217
21043,6,0.208
21045,9,0.24
21047,2,0.144
21049,2,0.138
21051,7,0.353
21053,9,0.268
21055,7,0.162
21057,9,0.182
21059,3,0.1
21061,3,0.219
21063,9,0.25
21065,6,0.244
21067,2,0.088
21069,7,0.204
21071,7,0.248
21073,4,0.11
21075,9,0.209
21077,1,0.188
21079,6,0.19
21081,1,0.134
21083,7,0.126
21085,6,0.185
21087,8,0.245
21089,2,0.11
21091,3,0.146
21093,3,0.095
21095,7,0.272
21097,6,0.179
21099,8,0.238
21101,2,0.131
21103,1,0.149
21105,9,0.199
21107,5,0.133
21109,9,0.254
21111,1,0.094
21113,2,0.127
21115,7,0.194
21117,1,0.101
21119,9,0.249
21121,7,0.265
21123,3,0.16
21125,5,0.189
21127,6,0.249
21129,9,0.319
21131,9,0.287
21133,9,0.243
21135,8,0.242
21137,7,0.201
21139,9,0.162
21141,6,0.151
21143,9,0.122
21145,5,0.095
21147,9,0.234
21149,3,0.127
21151,4,0.125
21153,9,0.303
21155,7,0.185
21157,7,0.113
21159,9,0.256
21161,6,0.137
21163,3,0.113
21165,9,0.226
21167,6,0.156
21169,9,0.244
21171,8,0.252
21173,6,0.152
21175,9,0.237
21177,6,0.179
21179,6,0.102
21181,8,0.242
21183,6,0.167
21185,1,0.062
21187,8,0.207
21189,9,0.312
21191,1,0.162
21193,7,0.231
21195,7,0.23
21197,6,0.197
21199,5,0.172
21201,8,0.153
21203,7,0.216
21205,7,0.158
21207,9,0.215
21209,2,0.09
21211,1,0.135
21213,6,0.13
21215,1,0.096
21217,7,0.129
21219,8,0.225
21221,2,0.12
21223,1,0.172
21225,6,0.1
21227,3,0.119
21229,9,0.16
21231,7,0.254
21233,8,0.175
21235,7,0.186
21237,9,0.282
21239,2,0.089
22000,,0.148
22001,2,0.21
22003,6,0.203
22005,2,0.114
22007,6,0.256
22009,6,0.232
22011,6,0.147
22013,6,0.159
22015,2,0.103
22017,2,0.13
22019,3,0.132
22021,8,0.233
22023,3,0.153
22025,9,0.257
22027,6,0.205
22029,7,0.198
22031,2,0.174
22033,2,0.095
22035,7,0.295
22037,2,0.2
22039,6,0.243
22041,7,0.25
22043,3,0.175
22045,2,0.201
22047,2,0.204
22049,6,0.194
22051,1,0.143
22053,6,0.187
22055,2,0.114
22057,3,0.218
22059,6,0.224
22061,4,0.115
22063,2,0.148
22065,7,0.261
22067,6,0.205
22069,6,0.116
22071,1,0.135
22073,3,0.135
22075,1,0.163
22077,2,0.202
22079,3,0.145
22081,8,0.192
22083,6,0.217
22085,6,0.143
22087,1,0.198
22089,1,0.1
22091,2,0.225
22093,1,0.146
22095,1,0.139
22097,4,0.233
22099,2,0.181
22101,4,0.172
22103,1,0.095
22105,3,0.164
22107,9,0.225
22109,3,0.21
22111,3,0.143
22113,2,0.221
22115,5,0.132
22117,6,0.205
22119,2,0.161
22121,2,0.128
22123,9,0.212
22125,2,0.179
22127,6,0.182
23000,,0.074
23001,3,0.098
23003,7,0.114
23005,2,0.049
23007,6,0.074
23009,6,0.059
23011,4,0.075
23013,7,0.064
23015,8,0.069
23017,6,0.081
23019,3,0.08
23021,8,0.097
23023,2,0.06
23025,6,0.116
23027,6,0.078
23029,7,0.107
23031,2,0.068
24000,,0.098
24001,3,0.098
24003,1,0.076
24005,1,0.085
24009,1,0.053
24011,6,0.157
24013,1,0.073
24015,1,0.105
24017,1,0.068
24019,6,0.121
24021,1,0.075
24023,6,0.102
24025,1,0.073
24027,1,0.045
24029,6,0.114
24031,1,0.09
24033,1,0.133
24035,1,0.068
24037,3,0.102
24039,2,0.187
24041,6,0.088
24043,2,0.128
24045,2,0.128
24047,2,0.087
24510,1,0.148
25000,,0.092
25001,3,0.045
25003,3,0.087
25005,1,0.143
25007,7,0.052
25009,1,0.107
25011,4,0.067
25013,2,0.142
25015,2,0.053
25017,1,0.066
25019,7,0.044
25021,1,0.061
25023,1,0.071
25025,1,0.137
25027,2,0.093
26000,,0.092
26001,9,0.107
26003,7,0.101
26005,4,0.091
26007,7,0.081
26009,9,0.083
26011,8,0.115
26013,9,0.108
26015,2,0.073
26017,3,0.095
26019,9,0.067
26021,3,0.103
26023,6,0.109
26025,3,0.09
26027,2,0.123
26029,7,0.06
26031,7,0.099
26033,7,0.1
26035,6,0.155
26037,2,0.055
26039,7,0.101
26041,5,0.059
26043,7,0.05
26045,2,0.057
26047,7,0.061
26049,2,0.094
26051,6,0.13
26053,7,0.063
26055,5,0.048
26057,6,0.089
26059,6,0.118
26061,5,0.072
26063,7,0.109
26065,2,0.071
26067,4,0.095
26069,7,0.111
26071,7,0.089
26073,4,0.085
26075,3,0.092
26077,2,0.064
26079,7,0.127
26081,2,0.093
26083,9,0.036
26085,9,0.176
26087,1,0.091
26089,9,0.043
26091,4,0.091
26093,1,0.048
26095,7,0.116
26097,7,0.093
26099,1,0.101
26101,7,0.101
26103,5,0.05
26105,7,0.079
26107,6,0.098
26109,7,0.075
26111,3,0.058
26113,9,0.105
26115,3,0.086
26117,2,0.113
26119,9,0.131
26121,3,0.087
26123,6,0.119
26125,1,0.059
26127,6,0.128
26129,9,0.141
26131,9,0.075
26133,9,0.113
26135,9,0.166
26137,7,0.08
26139,2,0.07
26141,7,0.104
26143,7,0.101
26145,3,0.106
26147,1,0.092
26149,4,0.13
26151,6,0.116
26153,7,0.094
26155,4,0.078
26157,6,0.107
26159,2,0.129
26161,2,0.047
26163,1,0.135
26165,7,0.104
27000,,0.069
27001,8,0.088
27003,1,0.06
27005,6,0.069
27007,7,0.079
27009,3,0.083
27011,9,0.074
27013,3,0.055
27015,6,0.065
27017,2,0.06
27019,1,0.039
27021,9,0.078
27023,7,0.106
27025,1,0.054
27027,3,0.051
27029,8,0.139
27031,9,0.029
27033,7,0.106
27035,4,0.059
27037,1,0.049
27039,3,0.051
27041,6,0.049
27043,6,0.074
27045,3,0.09
27047,7,0.112
27049,4,0.056
27051,9,0.071
27053,1,0.067
27055,3,0.049
27057,7,0.07
27059,1,0.075
27061,6,0.06
27063,7,0.073
27065,6,0.098
