fips,rural_urban,no_diploma
55007,8,0.049
55009,2,0.079
55011,8,0.091
55013,8,0.068
55015,3,0.058
55017,3,0.072
55019,6,0.177
55021,2,0.073
55023,7,0.087
55025,2,0.042
55027,4,0.092
55029,6,0.056
55031,2,0.063
55033,6,0.063
55035,3,0.059
55037,9,0.069
55039,3,0.082
55041,9,0.112
55043,6,0.077
55045,2,0.076
55047,6,0.102
55049,2,0.048
55051,9,0.055
55053,6,0.101
55055,4,0.082
55057,7,0.116
55059,1,0.099
55061,2,0.069
55063,3,0.05
55065,8,0.092
55067,6,0.097
55069,6,0.08
55071,4,0.08
55073,3,0.082
55075,6,0.089
55077,8,0.109
55078,8,0.081
55079,1,0.117
55081,6,0.091
55083,2,0.096
55085,7,0.069
55087,3,0.059
55089,1,0.032
55091,8,0.09
55093,1,0.049
55095,6,0.062
55097,4,0.061
55099,9,0.082
55101,3,0.095
55103,6,0.099
55105,3,0.092
55107,6,0.12
55109,1,0.038
55111,4,0.091
55113,7,0.077
55115,6,0.086
55117,3,0.068
55119,6,0.116
55121,6,0.093
55123,6,0.106
55125,9,0.063
55127,4,0.092
55129,7,0.078
55131,1,0.051
55133,1,0.038
55135,6,0.082
55137,6,0.132
55139,3,0.071
55141,4,0.073
56000,,0.068
56001,4,0.041
56003,9,0.103
56005,5,0.071
56007,7,0.09
56009,6,0.092
56011,9,0.073
56013,7,0.079
56015,7,0.079
56017,7,0.053
56019,7,0.04
56021,3,0.07
56023,7,0.072
56025,3,0.075
56027,9,0.129
56029,7,0.045
56031,7,0.089
56033,7,0.047
56035,9,0.04
56037,5,0.072
56039,7,0.048
56041,7,0.073
56043,7,0.102
56045,7,0.063
72000,,0.235
72001,6,0.347
72003,2,0.343
72005,2,0.262
72007,1,0.293
72009,1,0.219
72011,2,0.304
72013,3,0.232
72015,3,0.208
72017,1,0.259
72019,1,0.273
72021,1,0.193
72023,3,0.297
72025,1,0.186
72027,3,0.29
72029,1,0.249
72031,1,0.154
72033,1,0.265
72035,1,0.246
72037,1,0.268
72039,1,0.329
72041,1,0.239
72043,4,0.221
72045,1,0.297
72047,1,0.307
72049,9,0.296
72051,1,0.191
72053,1,0.199
72054,1,0.224
72055,2,0.301
72057,3,0.231
72059,2,0.231
72061,1,0.155
72063,1,0.197
72065,3,0.274
72067,3,0.236
72069,1,0.234
72071,2,0.295
72073,6,0.244
72075,2,0.23
72077,1,0.245
72079,3,0.373
72081,2,0.354
72083,6,0.456
72085,1,0.222
72087,1,0.25
72089,1,0.23
72091,1,0.274
72093,6,0.482
72095,1,0.335
72097,3,0.281
72099,2,0.306
72101,1,0.295
72103,1,0.264
72105,1,0.292
72107,1,0.323
72109,3,0.269
72111,2,0.262
72113,2,0.219
72115,3,0.261
72117,2,0.329
72119,1,0.219
72121,3,0.257
72123,4,0.262
72125,3,0.284
72127,1,0.187
72129,1,0.281
72131,2,0.322
72133,4,0.162
72135,1,0.174
72137,1,0.189
72139,1,0.156
72141,2,0.278
72143,1,0.27
72145,1,0.284
72147,7,0.288
72149,2,0.22
72151,1,0.29
72153,2,0.266
