fips,registration_2020,registration_2016
19143,4324,4410
19145,10467,10525
19147,6419,6486
19149,18236,18172
19151,5144,5262
19153,330982,303879
19155,66167,63474
19157,14530,14566
19159,3342,3316
19161,7280,7404
19163,133102,128225
19165,8709,8359
19167,23029,21936
19169,71955,68768
19171,11760,11894
19173,4121,4272
19175,8489,8193
19177,5034,5125
19179,22268,22936
19181,38102,35191
19183,15577,15182
19185,3885,3797
19187,25956,25941
19189,8043,7875
19191,15699,14716
19193,65508,63051
19195,5670,5764
19197,8261,8641
20001,8993,8655
20003,5758,5410
20005,12084,11332
20007,2952,2970
20009,16459,17427
20011,11937,11643
20013,6293,6159
20015,45514,42282
20017,1864,1827
20019,2464,2332
20021,14374,16953
20023,1963,1914
20025,1524,1476
20027,5828,5761
20029,6054,6003
20031,6264,6164
20033,1093,1136
20035,20527,19982
20037,25619,24908
20039,2234,2112
20041,13562,12955
20043,4704,4932
20045,82319,81380
20047,1926,1905
20049,1826,1850
20051,18876,18317
20053,4007,4148
20055,20936,19016
20057,15007,15790
20059,18999,18004
20061,17334,15658
20063,1846,1920
20065,1844,1811
20067,3722,3543
20069,3150,3032
20071,865,860
20073,4984,4835
20075,1348,1301
20077,3628,4202
20079,23810,21761
20081,2436,2383
20083,1323,1404
20085,9014,8534
20087,12819,13280
20089,2227,2159
20091,452675,407550
20093,2244,2157
20095,5180,5278
20097,1439,1425
20099,13986,16130
20101,1132,1321
20103,50575,50794
20105,2189,2177
20107,7247,6813
20109,1870,1856
20111,20228,19872
20113,18199,17068
20115,7936,7911
20117,6857,6468
20119,3383,3237
20121,24748,22059
20123,4230,4163
20125,20394,19573
20127,3920,3868
20129,2028,1957
20131,7395,7318
20133,11162,11468
20135,1940,1988
20137,3424,3367
20139,11855,10808
20141,2762,2744
20143,4323,4362
20145,3859,3895
20147,3884,3613
20149,16876,14381
20151,5316,5900
20153,2018,2111
20155,41035,41135
20157,3449,3700
20159,6366,5980
20161,37971,33917
20163,3703,3425
20165,2254,2118
20167,4600,4478
20169,38021,35414
20171,3492,3274
20173,322062,293113
20175,10708,10495
20177,116223,109731
20179,1917,1835
20181,3891,3870
20183,2780,2897
20185,2529,2666
20187,1118,1216
20189,3193,2986
20191,17499,16482
20193,5227,4600
20195,2136,2181
20197,5267,4775
20199,1121,1054
20201,3585,3347
20203,1402,1366
20205,5309,4943
20207,2208,2246
20209,91344,79625
21001,14031,13622
21003,15779,14426
21005,18879,17722
21007,6627,6406
21009,32753,30762
21011,9727,9213
21013,21276,21139
21015,112540,98668
21017,15117,14651
21019,41063,39269
21021,23279,21602
21023,6802,6303
21025,11503,11701
21027,16162,14989
21029,63342,57947
21031,9748,9375
21033,10324,10070
21035,31878,29282
21037,80270,71725
21039,4140,4011
21041,8251,7832
21043,20412,19824
21045,11428,10942
21047,56018,50265
21049,30401,28073
21051,14727,14662
21053,7795,7491
21055,6760,6683
21057,5428,5396
21059,78258,72731
21061,9801,9053
21063,5368,5213
21065,10761,10526
21067,250698,224659
21069,11218,10735
21071,29849,30446
21073,40314,36722
21075,5613,5477
21077,6715,6384
21079,13774,12982
21081,19124,17721
21083,26731,25570
21085,18880,18196
21087,8896,8772
21089,30778,29154
21091,7069,6737
21093,90815,80113
21095,20640,20607
21097,14313,13509
21099,14356,13209
21101,36667,34756
21103,12557,11908
21105,3745,3727
21107,35732,34564
21109,10248,9979
21111,632848,582338
21113,43369,39210
21115,18517,17877
21117,142157,128324
21119,11240,11304
21121,24997,24143
21123,11261,10428
21125,49401,46190
21127,12945,12427
21129,5264,5248
21131,8359,8549
21133,16673,16444
21135,10491,10165
21137,18759,17943
21139,7829,7587
21141,19431,17787
21143,6691,6389
21145,57912,53669
21147,11323,11180
21149,7097,6979
21151,73297,63600
21153,9878,10051
21155,13845,13135
21157,26576,25494
21159,8305,8290
21161,13713,13037
21163,23635,21149
21165,5728,5345
21167,18744,17511
21169,8030,7731
21171,8724,8571
21173,21204,20277
21175,9348,9113
21177,23322,22700
21179,35480,33025
21181,5600,5438
21183,18333,17478
21185,56248,50185
21187,8465,8090
21189,3550,3568
21191,10785,10324
21193,20565,20812
21195,49482,49140
21197,10256,9933
21199,50029,47323
21201,1792,1743
21203,12835,12353
21205,16264,14847
21207,14469,14016
21209,44760,38734
21211,35450,31586
21213,14963,13585
21215,16298,14146
21217,19310,18128
21219,9050,8374
21221,12600,11643
21223,7622,7171
21225,10660,10248
21227,89576,80493
21229,9250,8675
21231,15381,14738
21233,9794,9681
21235,28337,26828
21237,5677,5603
21239,22254,20526
22001,40278,40215
22003,13992,13954
22005,82899,76438
22007,15257,15247
22009,24722,25005
22011,23419,22542
22013,9277,9502
22015,76854,73504
22017,164423,168724
22019,130647,130104
22021,6530,6748
22023,5398,5214
22025,6769,7012
22027,9210,9178
22029,13163,13518
22031,20181,19085
22033,299658,292759
22035,5115,5333
22037,14322,14291
22039,22062,22168
22041,13966,13878
22043,13321,13010
22045,47811,48366
22047,21796,21564
22049,9975,10295
22051,282452,274249
22053,21327,21422
22055,161517,155315
22057,61093,58993
22059,9119,8952
22061,27947,28155
22063,87398,83309
22065,7631,7729
22067,18381,18956
22069,25211,25400
22071,273816,261482
22073,106669,105546
22075,15200,15524
22077,16046,15659
22079,85603,86204
22081,5942,6256
22083,14386,14409
22085,15107,14978
22087,27081,26312
22089,36782,35483
22091,8668,8520
22093,15741,15831
22095,30706,30203
22097,60367,60733
22099,37787,37103
22101,33413,33435
22103,186881,173389
22105,83711,78617
22107,3544,3975
22109,65591,64619
22111,15920,15972
22113,38635,37963
22115,26283,25648
22117,28716,28012
22119,25152,26053
22121,17863,16811
22123,7330,7379
22125,8011,7733
22127,8932,9258
23001,85598,81596
23003,52725,51855
23005,266859,243642
23007,25508,24493
23009,49006,45871
23011,102550,96273
23013,33658,31083
23015,31080,28901
23017,47582,45035
23019,124368,119132
23021,13455,13016
23023,31837,29728
23025,39457,37734
23027,33840,31645
23029,24824,24195
23031,176454,160059
24001,46865,43051
24003,434570,377502
24005,603419,546886
24009,72385,62700
24011,22430,19498
24013,132686,119143
24015,75633,64896
24017,127642,108334
24019,23461,21223
24021,199138,164464
24023,21651,19544
24025,199026,174334
24027,240205,207245
24029,14379,12952
24031,753586,656674
24033,644735,575809
24035,39799,34795
24037,81803,69372
24039,14255,12948
24041,29556,26747
24043,108864,93666
24045,68642,59712
24047,43643,37979
24510,424374,390616
25001,184407,173757
25003,93714,90723
25005,394376,364818
25007,16242,15125
25009,561515,526594
25011,54042,51211
25013,330925,316919
25015,109231,109798
25017,1095382,1039346
25019,9624,9085
25021,510411,477863
25023,387575,355288
25025,492219,470592
25027,573246,533855
26001,9842,9347
26003,7565,7337
26005,93547,83976
26007,24768,23549
26009,21961,20425
26011,12693,12151
26013,6681,6428
26015,49600,45336
26017,84534,80236
26019,16421,15088
26021,134312,127768
26023,33640,31518
26025,105964,100662
26027,44434,40527
26029,23670,22144
26031,22538,21318
26033,26085,24279
26035,25154,23386
26037,62024,57040
26039,11966,11343
26041,31218,29395
26043,23280,22250
26045,87635,81665
26047,30536,28547
26049,348259,331057
26051,21851,21084
26053,14278,13953
26055,80742,73819
26057,28190,26463
26059,36373,33922
26061,26465,24944
26063,26141,25207
26065,213353,203049
26067,46736,43247
26069,22508,21293
26071,10442,9680
26073,46052,43606
26075,121853,111923
26077,209826,195448
26079,15966,14720
26081,498832,453052
26083,2046,1957
26085,9956,9217
26087,71794,66834
26089,21333,20127
26091,78765,73564
26093,160644,145712
26095,4543,4315
26097,10083,9495
26099,689812,630577
26101,20908,19720
26103,54567,51204
26105,24630,22833
26107,31052,27742
26109,20053,19163
26111,69376,65519
26113,12010,10889
26115,130135,118691
26117,47629,42907
26119,8553,7975
26121,140636,128799
26123,39611,35833
26125,1030567,957357
26127,21129,19526
26129,17816,16596
26131,5727,5661
26133,18356,17350
26135,7266,6768
26137,22945,21009
26139,219641,197977
26141,11523,10893
26143,22908,21706
26145,156209,150018
26147,133821,124354
26149,47227,43970
26151,31510,29510
26153,7198,6791
26155,55703,52779
26157,42707,40793
26159,60552,55350
26161,316414,285272
26163,1398888,1339831
26165,27347,25289
27001,11267,10923
27003,246388,229316
27005,23368,21182
27007,30093,27903
27009,26909,25204
27011,3364,3350
27013,43858,42284
27015,17089,16865
27017,23906,22505
27019,74575,67428
27021,21836,20208
27023,7753,7682
27025,39709,36814
27027,39928,37932
27029,5472,5153
27031,4197,3864
27033,7137,6878
27035,47109,43578
27037,304233,283462
27039,14080,12953
27041,28171,26808
27043,9224,9059
27045,14069,13532
27047,19689,19587
27049,33092,31392
27051,4207,4117
27053,892793,835770
27055,13286,12985
27057,15063,14013
27059,28528,25923
27061,31109,29563
27063,6583,6498
27065,11023,10321
27067,27735,26344
27069,2978,2878
27071,8046,7803
27073,4680,4669
27075,8165,7902
27077,2748,2633
27079,19437,18260
27081,3802,3743
27083,15530,15061
27085,24267,23465
27087,3103,2793
27089,5920,5716
27091,12717,13001
27093,15461,14857
27095,16936,16356
27097,22582,21047
27099,23289,22342
27101,5643,5457
27103,22606,22211
27105,10709,10724
27107,4047,4022
27109,106601,98825
27111,41958,39765
27113,8598,8389
27115,18582,16820
27117,5827,5845
27119,18820,18596
27121,8049,7655
27123,355526,339947
27125,2513,2335
27127,9918,10205
27129,9629,9434
27131,43100,40821
27133,6002,5871
27135,9806,9560
27137,142595,139098
27139,101224,91249
27141,65312,59762
27143,9754,9452
27145,101560,98627
27147,24578,23320
27149,5948,6490
27151,6084,5985
27153,15402,14637
27155,2174,2171
27157,15288,14493
27159,9091,8458
27161,12143,11807
27163,188522,173223
27165,6082,6268
27167,4067,3998
27169,32397,32872
27171,95000,85126
27173,6382,6473
28001,21442,21394
28003,28327,27567
28005,10699,10401
28007,12780,12860
28009,6235,6195
28011,24320,27054
28013,9750,10121
28015,7695,8082
28017,12574,12532
28019,5858,6223
28021,7114,8136
28023,12217,12879
28025,14798,14609
28027,18494,17786
28029,20526,20773
28031,15089,14780
28033,125885,110062
28035,52502,50108
28037,6242,5932
28039,16588,15692
28041,8295,8307
28043,17259,17203
28045,35645,33289
28047,144215,132182
28049,191175,173849
28051,13780,13294
28053,6893,7067
28055,990,1091
28057,16597,18203
28059,97621,89241
28061,12238,12096
28063,5823,6589
28065,9132,9856
28067,45351,43350
28069,7963,8020
28071,37110,32131
28073,40992,37283
28075,48569,55346
28077,9086,9561
28079,15157,17629
28081,56625,53534
28083,26063,29248
28085,23204,24726
28087,44338,46091
28089,87943,85969
28091,17789,17884
28093,25555,24482
28095,25644,25563
28097,7066,7853
28099,18200,17201
28101,14961,14586
28103,7921,9327
28105,32979,28408
28107,25850,26434
28109,39464,38450
28111,8927,8880
28113,27089,26346
28115,21978,21153
28117,15971,16466
28119,5089,5316
28121,103528,95366
28123,19714,24182
28125,3440,3399
28127,18607,18637
28129,11758,11242
28131,11827,11259
28133,16825,17145
28135,10069,9942
28137,19332,18991
28139,15066,15088
28141,13533,13253
28143,10166,9886
28145,18212,17764
28147,11305,13399
28149,30746,33352
28151,35324,33553
28153,14453,14383
28155,7598,7699
28157,7137,7449
28159,12804,13442
28161,10898,10417
28163,19494,19219
29001,14876,15231
29003,12965,12188
29005,3890,3815
29007,15392,15507
29009,22135,21045
29011,8786,8653
29013,11732,11616
29015,14700,13877
29017,8369,8287
29019,131232,131020
29021,53172,52049
29023,28600,28799
29025,6542,6328
29027,29728,28572
29029,33371,31788
29031,55255,53503
29033,6132,6314
29035,4719,4761
29037,80278,71389
29039,9396,8416
29041,5381,5536
29043,65379,56933
29045,4956,4933
29047,176768,169796
29049,15508,14700
29051,54141,53755
29053,11691,11308
29055,16600,16131
29057,5685,5986
29059,11354,10931
29061,5400,5396
29063,6800,6504
29065,10087,9558
29067,9647,9684
29069,17657,17359
29071,74124,70716
29073,10781,10634
29075,4695,4669
29077,196010,190103
29079,5872,6726
29081,5285,5243
29083,15923,15780
29085,7032,6762
29087,3215,3324
29089,6984,6939
29091,27330,27043
29093,6880,6983
29095,493920,479386
29097,82084,77987
29099,158829,148904
29101,33016,32487
29103,2543,2515
29105,24089,23140
29107,23498,23145
29109,24984,24317
